GEOID,n_nodes,n_edges_dir,orientation_entropy,link_node_ratio,dead_end_frac,n_intersections,circuity_avg,reach_mean,reach_gini,n_reach_sources,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity,status
06075025401,172,484,3.232609099474111,1.4069767441860466,0.1686046511627907,127,1.0116599369096866,142.58139534883722,0.09420577090121515,172,1.4069767441860466,0.98847445027298,142.58139534883722,0.9057942290987848,ok
06075025402,93,242,2.4427995845247428,1.3010752688172043,0.2903225806451613,55,1.0250968130192277,54.473118279569896,0.1968000882968472,93,1.3010752688172043,0.9755176167748392,54.473118279569896,0.8031999117031527,ok
06075025403,140,374,3.4174440632532557,1.3357142857142856,0.22857142857142856,102,1.0590146959074593,92.55714285714286,0.17940048067382516,140,1.3357142857142856,0.9442739594308555,92.55714285714286,0.8205995193261748,ok
06075025501,341,1092,2.8183221921061787,1.6011730205278591,0.08211143695014662,294,1.0185123508087675,294.5923753665689,0.07568426392074437,341,1.6011730205278591,0.981824127322494,294.5923753665689,0.9243157360792557,ok
06075025502,354,1114,3.274177430730777,1.573446327683616,0.096045197740113,295,1.0580483638713816,232.77966101694915,0.1424129348117323,354,1.573446327683616,0.9451363795327998,232.77966101694915,0.8575870651882677,ok
06075025600,143,410,3.093089382800321,1.4335664335664335,0.17482517482517482,99,1.0316108307221599,69.9020979020979,0.13767185195756623,143,1.4335664335664335,0.9693577948381646,69.9020979020979,0.8623281480424337,ok
06075025701,208,604,2.5643567082509806,1.4519230769230769,0.1875,157,1.0263722992042028,122.25961538461539,0.21532298315133544,208,1.4519230769230769,0.9743053283641321,122.25961538461539,0.7846770168486645,ok
06075025702,164,464,2.3489599325923782,1.4146341463414633,0.2073170731707317,110,1.0183031955554462,108.57317073170732,0.15871054700662698,164,1.4146341463414633,0.982025789926484,108.57317073170732,0.841289452993373,ok
06075025800,51,138,2.4113918423980114,1.3529411764705883,0.13725490196078433,32,1.0135336555669598,38.98039215686274,0.09170710537736222,51,1.3529411764705883,0.986647058543518,38.98039215686274,0.9082928946226377,ok
06075025900,162,424,2.3187695200689684,1.308641975308642,0.20987654320987653,101,1.0641281301114711,65.1358024691358,0.19342772770243086,162,1.308641975308642,0.9397364581417903,65.1358024691358,0.8065722722975691,ok
06075026001,217,706,1.6470810006212384,1.6267281105990783,0.041474654377880185,187,1.0518352501866217,190.56221198156683,0.06648127395417391,217,1.6267281105990783,0.9507192308135473,190.56221198156683,0.9335187260458261,ok
06075026002,91,256,3.154172079637997,1.4065934065934067,0.13186813186813187,66,1.019010007141704,56.065934065934066,0.18552086878233495,91,1.4065934065934067,0.9813446315458406,56.065934065934066,0.814479131217665,ok
06075026003,117,376,1.9827482646036694,1.606837606837607,0.05982905982905983,97,1.0070858748121279,104.51282051282051,0.05249406574234847,117,1.606837606837607,0.9929639815338988,104.51282051282051,0.9475059342576515,ok
06075026004,150,458,1.8500501300778538,1.5266666666666666,0.10666666666666667,121,1.004079224245384,122.53333333333333,0.08800145085237583,150,1.5266666666666666,0.9959373482222483,122.53333333333333,0.9119985491476241,ok
06075026100,529,1654,3.089384674612003,1.563327032136106,0.13799621928166353,443,1.03214028162114,354.548,0.11642343490867256,500,1.563327032136106,0.9688605491003038,354.548,0.8835765650913274,ok
06075026201,205,580,3.144785502839844,1.4146341463414633,0.17073170731707318,147,1.0360013442783147,155.62926829268292,0.12647943831494482,205,1.4146341463414633,0.9652497127758135,155.62926829268292,0.8735205616850552,ok
06075026202,103,282,2.555386062459987,1.3689320388349515,0.22330097087378642,69,1.0778602244607622,88.3883495145631,0.0689529407749927,103,1.3689320388349515,0.9277640804495643,88.3883495145631,0.9310470592250073,ok
06075026301,132,388,2.7140170090081472,1.4696969696969697,0.13636363636363635,99,1.01391450651926,93.71212121212122,0.12698733495014822,132,1.4696969696969697,0.9862764499079629,93.71212121212122,0.8730126650498518,ok
06075026302,254,756,3.3730283421525598,1.4881889763779528,0.11811023622047244,207,1.043374189550825,167.8188976377953,0.16543579368770892,254,1.4881889763779528,0.9584289222551137,167.8188976377953,0.8345642063122911,ok
06075026303,114,286,2.8980341623448096,1.2543859649122806,0.22807017543859648,70,1.0284197673708326,61.824561403508774,0.13001075333054538,114,1.2543859649122806,0.9723655959633214,61.824561403508774,0.8699892466694547,ok
06075026401,61,158,1.6623260429618716,1.2950819672131149,0.2786885245901639,35,1.0282050038183483,45.90163934426229,0.11729508196721314,61,1.2950819672131149,0.9725686962097966,45.90163934426229,0.8827049180327868,ok
